Japanese,English
はんそく,"foul, rule violation"
にゅうせん,"acceptance, selection"
しき,ceremony
とうせん,election to office
せんたく,"selection, choice"
きこう,climate
おぎなう,"supplement, replenish"
ゆうりょく,"powerful, influential"
こっか,"state, country"
かんせつ,joint
しようにん,servant
あしくび,ankle
てくび,wrist
ぶらさげる,"hang, suspend"
しゅのう,"head, leader"
うちあける,"confide in, reveal"
それほど,"so much, that much"
なやむ,"be troubled, suffer"
かしら,"head, chief"
ずつう,headache
せんとう,"forefront, head"
たまらない,"can't stand, can't put up with"
じしん,self-confidence
かおいろ,"complexion, countenance"
いちどう,"everybody, all"
あおじろい,"pale, pallid"
ずるがしこい,"sly, cunning"
へいき,"nonchalant, calm"
かいせい,"revision, amendment"
あらためる,"reform, change"
あらためて,once again
あらたまる,"be renewed, change"
せいめい,life
いのち,life
りょうじかん,consulate
りょうしゅうしょ,"receipt, voucher"
しくみ,"construction, arrangement"
くみ,school class
くむ,"pair up, partner with"
くみあわせる,"assort, join together"
くみこむ,"incorporate, integrate"
クイズ,"quiz, quiz show"
とりくむ,"grapple, pursue"
ろくが,videotaping
リクエスト,request
おりもの,"cloth, textile"
あらた,"new, fresh"
しんしゅつ,advancement
しんこう,advancement
しんぽ,"progress, advancement"
こくどう,national highway
こうしん,"march, parade"
どんどん,steadily
ほくせい,northwest
なんせい,southwest
なんとなく,"in some way, somehow"
すいしん,promotion
しじょう,"market, exchange"
かけい,family finances
しゅにん,"person in charge, head"
ささえる,"support, maintain"
はたす,"accomplish, realize"
たんにん,supervisor
じにん,resignation
おせじ,"compliment, flattery"
えいわ,English-Japanese
でんし,"electron, electronic"
わえい,Japanese-English
きょうぎ,"conference, deliberation"
いいんかい,committee
いいん,"committee member, delegate"
おおて,major companies
こくてつ,Japan National Railways
してん,branch
おばさん,middle-aged woman
しょうしゃ,trading firm
しゅっきん,"to go to work, attendance at work"
うんそう,"shipping, transportation"
きんべん,"diligence, hard work"
じぇいあーる,"JR, Japan Railways"
にっすう,number of days
つとめさき,employment
つとめ,"service, duties"
もしかしたら,"possibly, perhaps"
きんむ,"duty, service"
じむ,"office duty, clerical work"
こうむいん,"public officer, government worker"
じむいん,"clerk, clerical staff"
にんむ,"duty, mission"
じゅうぎょういん,"employee, worker"
ストライキ,strike
りょうしん,conscience
ほう,"law, rule"
やとう,"employ, hire"
じっせき,"achievement, performance"
あたりまえ,"of course, obvious"
げ,"low class, inferiority, below"
トップ,top
つぐ,"rank next to, come next"
すいじゅん,"level, standard"
おうぼ,application
たすう,"large number, multitude"
だいしょう,size
ゆうする,"have, possess"
しゅうちゅう,"concentration, convergence"
しゅうごう,"gathering, assembly"
くみあい,"union, guild"
こうど,high degree
くにぐに,"nations, countries"
あつまり,"gathering, assembly"
さまざま,"various, diverse"
ぼしゅう,"recruitment, collection"
はやめる,"move forward (in time), expedite"
とうあん,"examination paper, answer"
さいさん,profit
さいてん,"marking, grading"
とる,"gather, pick"
きょうきゅう,"supply, provision"
げっきゅう,monthly salary
じきゅう,hourly wage
いっさくねん,the year before last
みこみ,"hope, prospect"
ろんぶん,"thesis, paper"
たんだい,junior college
はなたば,bunch of flowers
しゅうにん,"inauguration, appointment"
つく,"set about a task, enter upon"
しょくいん,"staff, employee"
しょくぎょう,"occupation, vocation"
してつ,private railway
な,"name, reputation"
とない,in the metropolitan area of Tokyo
ゆうり,"advantageous, profitable"
と,metropolis of Tokyo
ふびょうどう,"unequal, unfair"
たいしょく,"retirement, resignation"
たいがく,withdrawal from school
そうたい,early departure
りくつ,"reason, logic"
たいくつ,"boring, tedious"
せいりつ,formation
こよう,employment
みずから,oneself
ぜんてい,"assumption, premise"
じょうやく,treaty
しだいに,"gradually, by degrees"
しんそう,the truth
せんじつ,"the other day, a few days ago"
あくしつ,"bad, malignant"
とうきょく,the authorities concerned
にんしき,"recognition, acknowledgment"
みたす,"fill, satisfy"
むかんけい,"irrelevant, unrelated"
とうしょ,"contribution, letter"
みてい,"undecided, pending"
ようけん,"matter, things to be done"
さんこう,"reference, consultation"
さんぎいん,"House of Councilors, Upper House"
おまいり,visiting a shrine or temple
さんこうしょ,reference book
まいる,"go, come"
みじめ,"miserable, pitiable"
くわわる,join in
クラブ,club
さぞ,"no doubt, must"
いいかげん,"irresponsible, half-baked"
デモ,demonstration
ほけん,insurance
もうしでる,"offer, propose"
にんずう,number of people
レクリエーション,"recreation, games"
さる,"go away, leave"
おいだす,"turn out, kick out"
おいかける,"chase, run after"
ついか,addition
ぜんねん,the year before
ひりつ,"ratio, percentage"
みくらべる,"look from one to another, compare"
ひかく,comparison
うけとり,receipt
はんけつ,"judicial decision, judgment"
はんこ,"seal, stamp"
ひょうばん,"fame, reputation"
かんじ,"feeling, impression"
かんじょう,"feeling, emotion"
かんどう,"emotion, impression"
じっかん,"true sense, realization"
こめる,"put in, concentrate on"
しそう,"thought, conception"
かんそう,"thought, impression"
くうそう,"fantasy, daydreams"
あたり,"hit, success"
よそう,"prospect, expectation"
りそう,ideal
しょうずる,"arise, occur"
ごうせい,"composition, synthesis"
げんぞう,developing a film
そうぞう,imagination
きしょう,weather condition
ぞう,elephant
ちゅうしょうてき,abstract
せいひん,manufactured goods
かいろ,circuit
ハードウェア,hardware
ほしょう,"guarantee, security"
モーター,"motor, engine"
あっか,"worsening, aggravation"
きず,"wound, scar"
ふしょう,"hurt, injury"
むいしき,"unconsciously, without thinking"
こうかん,"exchange, bartering"
シーツ,sheet
しょうかき,fire extinguisher
へんかん,"change, conversion"
タイヤ,tire
こうたい,"alternation, shift"
ぶひん,"parts, accessories"
みずぎ,bathing suit
とりかえる,"change, replace"
たてかえる,"pay for another, pay in advance"
さいなん,"calamity, misfortune"
すいがい,flood damage
ゆうがい,"harmful, hazardous"
いんりょうすい,drinking water
かぶせる,cover
ひがい,"damage, harm"
ぶっし,"commodities, goods"
ところどころ,"here and there, at places"
はかい,"breaking, destruction"
くだらない,"worthless, trifling"
たいおんけい,thermometer
すくう,"save, relieve"
すくい,"rescue, relief"
きゅうじょ,"rescue, relief"
ありがたい,"welcome, grateful"
もはや,"already, no longer"
たすかる,"be helped, be rescued"
しえん,"support, backing"
えんじょ,"aid, assistance"
ようせい,"request, demand"
はで,"showy, flashy"
はしゅつじょ,"branch office, police box"
こづかい,"pocket money, spending money"
はけん,"dispatch, sending"
センター,center
おかす,"offend against, rape"
とくてい,"specific, particular"
はんにん,"criminal, offender"
ピストル,pistol
めいはく,"clear, plain"
はんざい,"offense, crime"
つみ,"crime, sin"
ごうとう,robbery
とうなん,"robbery, burglary"
うばう,"rob, take by force"
じさつ,suicide
つかまる,"be caught, be arrested"
こくがい,"abroad, outside the country"
にげだす,"make a break for, run off"
にげみち,escape route
さくせん,"tactic, strategy"
しゅだい,"subject, theme"
せんぜん,prewar period
かち,"win, victory"
たたかう,"wage war, fight"
ちょうせん,challenge
はいせん,"lost battle, defeat"
たたかい,"war, match"
やぶれる,"be defeated, be beaten"
たいせん,world war
せいとう,political party
あらそう,"compete, fight"
きょうぎ,"match, sporting event"
こうそくどうろ,"freeway, highway"
こんざつ,"confusion, disorder"
わりあい,"rate, proportion"
まぜる,"blend, mix by stirring"
せんご,postwar period
リズム,rhythm
とういつ,"unity, coordination"
とうけい,statistics
そうかい,general meeting
そうごう,"synthesis, integration"
そうすう,total
さがす,"look for, search for"
そうさ,"criminal investigation, search"
しょうすう,decimal
のこらず,"entirely, without exception"
さくいん,index
じんこう,artificial
ツル,"crane, stork"
みずうみ,lake
とびこむ,dive into
ふかめる,"deepen, intensify"
ものごと,"things, everything"
ちゅういぶかい,"careful, discreet"
おちつく,"calm down, settle in"
スピード,speed
おちつき,"presence of mind, composure"
がっかり,feel disappointed
がくんと,sharply
だんらく,end of paragraph
みおとす,"miss, fail to notice"
らくだい,failing an exam
まあまあ,now now
にっちゅう,during the day
すいめん,surface of the water
こうりゅう,"interaction, contact"
いちりゅう,"top-ranked, world-class"
かいりゅう,ocean current
さんりゅう,third-rate
おがわ,"brook, stream"
ながれ,"flow, stream"
りゅうつう,"circulation, distribution"
ちゅうかん,"middle, between"
ちゅうりゅう,"mid-stream, middle reaches"
にりゅう,second-rate
はやり,"fashion, trend"
りゅうこう,"fashion, trend"
こうずい,"flood, inundation"
くずす,"destroy, break"
すいせん,"flushing, washing"
クリーム,cream
あらいもの,dishes to be washed
じゃぶじゃぶ,vigorously
せんめん,washing one's face
せんめんき,"washbowl, sink"
げんりょう,raw material
かわり,substitution
さす,pour
まざる,"be mixed, be stirred"
しずめる,"sink, submerge"
ひきあげる,"pull up, salvage"
ちへいせん,horizon
ゆうひ,setting sun
ちんぼつ,sinking
しょうらい,"future, in the future"
かくじつ,"certain, secure"
カメラマン,"photographer, cameraman"
きらく,"easygoing, comfortable"
えいえん,eternity
えいきゅう,"permanence, eternity"
ぜんそくりょく,"full speed, full steam"
うく,float
あがる,"eat, drink"
かんかく,"sense, sensation"
せけん,"world, the public"
きたかぜ,north wind
さます,"cool, let cool"
ひえこむ,get colder
ひやかす,"tease, jeer"
かちかち,"hard, solid"
れいとう,"freezing, cold storage"
しゃこ,"car shed, garage"
ないぞう,internal organs
かいせい,fair and clear weather
てきよう,application
てきする,"suit, be suitable"
てきとう,"suitable, appropriate"
してき,"identification, pointing out"
しつど,humidity
しめっぽい,"damp, gloomy"
しっけ,"moisture, dampness"
おせん,"pollution, contamination"
ほお,cheek
はいし,"abolishment, abandonment"
いちめん,whole surface
ひかくてき,"comparatively, relatively"
ふうけい,"scenery, landscape"
ふけいき,"business depression, slump"
かげ,"shadow, shade"
えんだか,appreciation of the yen
インフレーション,inflation
ふきょう,"depression, slump"
きじ,"article, story"
さいてき,optimum
こっきょう,national border
さかい,"boundary, border"
てきおう,"adaptation, adjustment"
かんさつ,"observation, supervision"
きゃっかんてき,objective
しゅかん,"subjectivity, subject"
しゅかんてき,subjective
しない,in the city
かんこう,sightseeing
きらりと,sparkle
なりたつ,"consist of, be built on"
にっこう,"sunshine, sunlight"
すいそく,"conjecture, guess"
はかる,"measure, gauge"
たいじゅう,body weight
かこう,"river mouth, estuary"
ウエスト,the waist
すいへいせん,horizon
はつでん,generation of electricity
ようき,"cheerful, bright"
ゆうげん,"limited, finite"
かんそく,observation
むすう,"countless, innumerable"
えいせい,"satellite, moon"
えいせいてき,"sanitary, hygienic"
いちいん,member
グラウンド,sports field
きゅう,"globe, ball"
にちべい,Japan and U.S.
プロやきゅう,professional baseball
でんきゅう,light bulb
あらわれる,"appear, emerge"
あおぞら,blue sky
たちまち,"in a moment, instantly"
うしなう,"lose, miss"
こんらん,"disorder, confusion"
さいがい,"calamity, disaster"
しんど,seismic intensity
ぶるぶる,shiver
だっせん,derailment
じんせい,"human life, life"
おおゆき,heavy snow
まどぐち,window
ふり,"swing, shake"
でんせん,electric wire
さよう,"action, effect"
かみさま,"god, the divine"
しんとう,Shinto
がいぶ,"outside, outer"
あんてい,"stability, composure"
せいしん,"mind, spirit"
せいさん,"settlement of accounts, adjustment"
げんじつ,"actuality, reality"
おしえ,"lesson, teachings"
ざんしょ,lingering summer heat
きちょう,"precious, valuable"
きちょうひん,"article of value, valuables"
きんこ,"strong box, safe"
とうとい,"precious, valuable"
あと,"trace, track"
あしあと,"footprint, footmark"
ついせき,"pursuit, chase"
こうきしん,curiosity
きせき,"miracle, wonder"
きすう,odd number
あける,"empty, clear out"
ちかよる,"go near, approach"
よりみち,"dropping by, going out of the way"
よりあつまる,"gather, assemble"
なんぜん,"several thousand, thousands"
けいれき,"personal history, resume"
がくれき,educational history
かくめい,revolution
こだい,"ancient times, antiquity"
れきしてき,historical
みだす,"put into disorder, disrupt"
こうか,high-priced
ほうせき,"gem, jewel"
がいかん,external appearance
モダン,modern
たてまえ,"a front, polite face"
ねんげつ,"years, time"
けんちく,"construction, architecture"
しんちく,new building
きじゅん,"standard, criterion"
むしろ,rather
こうそう,"conception, design"
かまえる,set up (shop)
けっこう,quite
かまう,"mind, care for"
くらい,"rank, dignity"
しゅうにゅう,"income, earnings"
うんどうかい,"sports festival, athletic meet"
あくよう,"abuse, misuse"
たんい,"unit, credit"
ちい,"position, status"
じゅうてん,"important point, emphasis"
ずれる,"off track, out of line"
ほんぶ,"head office, headquarters"
ま,"interval, duration of time, chamber"
きょり,"distance, interval"
ぶんり,"separation, split"
はなれる,"separate, leave"
はなす,"separate, detach"
ていでん,"power cut, power failure"
でいりぐち,"doorway, gateway"
ふつう,interruption of service
まわり・まわり,"vicinity, whereabouts"
あたり,"vicinity, around"
そうば,"market price, speculation"
しょもつ,"book, volume"
はんい,"range, scope"
きょうかい,"boundary, border"
おじさん,"Mister, middle-aged man"
りょうど,"territory, domain"
むら,"village, hamlet"
となりあう,"adjoin, be next door to each other"
もくぞう,wooden
あわす,"match, add"
おうだん,"crossing, traversing"
さゆう,right and left
ちゅうだん,"interruption, discontinuance"
だんすい,water stoppage
ゆだん,"inattention, carelessness"
だんてい,"decision, conclusion"
つぐ,"succeed, inherit"
はばひろい,"wide, broad"
おうべい,Europe and America
かくりつ,establishment
こんにち,"today, these days"
たいりく,continent
ちゃくりく,landing
りりく,takeoff
ないりく,"inland, interior"
りくじょう,"land, shore"
まもなく,"soon, in a short time"
りく,"land, shore"
きわめて,"extremely, very"
しょうきょくてき,"negative, passive"
なんきょく,South Pole
ほっきょく,North Pole
きょくたん,extreme
さいせんたん,"cutting edge, forefront"
しゃがむ,squat down
がいしょう,Minister of Foreign Affairs
そうり,"president, prime minister"
にょうぼう,wife
いっしょ,together
こころづよい,"reassuring, heartening"
ないしょ,"secrecy, privacy"
だんじょ,"men and women, both sexes"
かもつ,"freight, cargo"
ひゃっかてん,department store
せきゆ,"petroleum, oil"
きせい,"regulation, control"
ゆそう,"transport, ship"
くすりゆび,"third finger, ring finger"
はめる,"put on, wear"
けいき,economic climate
かいふく,"recovery, rehabilitation"
あやまち,"fault, mistake"
たいそう,"gymnastics, physical exercise"
そうじゅう,"steering, piloting"
たてがき,vertical writing
じゅうたい,"delay, traffic jam"
ちょうき,long period
たいざい,stay
おび,"belt, sash"
おんたい,temperate zone
ちたい,"zone, area"
ねったい,tropics
そうさ,"operation, manipulation"
こくひ,national expenditure
しひ,private expense
にゅうこく,"entry into a country, immigration"
けいしき,"form, model"
しょうひしゃ,consumer
しげん,resources
きまり,"settlement, rule"
エチケット,etiquette
マナー,manners
つとめ,"duty, task"
るすばん,"caretaking, caretaker"
しょくば,"place of work, office"
きたく,return home
じゅうたくち,residential district
ばらばら,separately
たてこむ,"full of, crowded with"
ゆうだち,sudden evening shower
あてな,"name of recipient, addressee"
あてさき,"recipient, addressee"
ただちに,"at once, immediately"
もどす,"return, give back"
とりもどす,"take back, recover"
はらいもどす,"pay back, reimburse"
げんしょう,phenomenon
さつじん,"murder, homicide"
しょうか,"digestion, consumption"
おきあがる,"get up, rise"
ふうん,"misfortune, bad luck"
ふちゅうい,"carelessness, inattention"
ちょくご,immediately after
ろくに,"hardly, barely"
ねかす,put to sleep
ねすごす,oversleep
ねかせる,"put to bed, lay down"
ねころぶ,lie down
しわ,wrinkle
しずまる,"become quiet, calm down"
れいせい,"cool, calm"
きゅうか,"holiday, vacation"
もんどう,"questions and answers, argument"
きょうつう,commonality
しゅうしゅう,"collection, gathering"
かねもうけ,making money
どくしょ,reading a book
ごうい,mutual agreement
がいか,foreign currency
おそわる,"be taught, learn"
せんよう,"exclusive use, private use"
りょうしゃ,both
みあい,meeting with a view to marriage
りょうりつ,"managing two things, having it both ways"
りょうめん,both sides
かたて,one hand
かたほう,one side
かたがわ,one side
そくめん,"side, flank"
りょうがわ,both sides
ほこうしゃ,pedestrian
はくせん,"white line, warning line"
つうろ,"passage, alley"
うらぐち,"back door, kitchen door"
うらがえし,"turn over, turn inside out"
うらおもて,"inside-out, front and back"
くすぐる,tickle
やかん,"night, nighttime"
こうもく,"item, clause"
ようこう,important points
いんしょう,impression
くみあわせ,"combination, assortment"
しゅうかん,published weekly
げっかん,published monthly
ふるほん,secondhand book
しゅっぱん,"publishing, publication"
しゅっぱんしゃ,publishing company
ちり,geography
ちゅう,"annotation, explanatory note"
しんけい,"sensitivity, nerves"
しょうさい,"details, particulars"
こころぼそい,"helpless, lonely"
つうち,notification
ちぎる,"tear, tear off"
ファックス,"facsimile, fax"
けいじ,"notice, bulletin"
のる,appear in print
せっきょくてき,"positive, active"
さんかくけい,triangle
つむ,"pile up, accumulate"
めんせき,"area, square measure"
ちり,dust
へいほう,square
いいわけ,"apology, excuse"
どうしても,"by any means, really"
ほんやく,translation
つうやく,interpreting
もうしわけない,"sorry, inexcusable"
わけ,"reason, cause"
もうしわけ,"excuse, apology"
あやまり,"error, mistake"
あやまる,make a mistake
ごかい,misunderstanding
ていせい,"correction, amendment"
しゅうせい,"correction, revision"
とうろん,"debate, discussion"
まえむき,"facing forward, positively"
キャベツ,cabbage
そう,"accompany, go along with"
じゅよう,demand
せいか,"result, fruit"
いご,"from now on, after that"
きづく,"notice, become aware of"
えいせい,"hygiene, sanitation"
エアコン,"air-conditioning, air conditioner"
がくりょく,"scholastic performance, academic ability"
しるし,"mark, symbol"
ガード,guard rail
イントネーション,intonation
おいつく,"overtake, catch up with"
おもいつく,"think of, hit upon"
あしもと,"step, under foot"
きずつける,"wound, hurt"
これから,"from now on, after this"
つきあい,"friendship, association"
つけくわえる,add
つきあう,"socialize with, see someone"
ふろく,"appendix, supplement"
ちかづける,bring close
つけたす,"add on, append"
ひづけ,date
きんぞく,metal
しょぞく,"belonging, attachment"
ふぞく,"attachment, belonging"
バット,bat
ぞくする,"belong to, be one of"
ポスター,poster
おおくらしょう,Ministry of Finance
がいむしょう,Ministry of Foreign Affairs
きせい,homecoming
はんせい,"reflection, repentance"
はぶく,"omit, dispense with"
しょうりゃく,"omission, abbreviation"
りゃくす,"abbreviate, omit"
りゃく,abbreviation
がいねん,"general idea, concept"
きねん,"commemoration, memory"
しんねん,"belief, conviction"
ふごうかく,"failure, disqualification"
きてい,"regulation, provision"
ぶっしつ,"matter, substance"
ふくめる,include
ふくむ,"contain, include"
じゅんちょう,"favorable condition, smooth progress"
けいか,"progression, lapse"
じゅん,"order, sequence"
じゅんばん,"order, turn"
じゅんい,"order, rank"
ごじゅうおん,Japanese syllabary
みちじゅん,"route, itinerary"
じゅんじょ,order
ぎゃく,"reverse, inverse"
うんめい,"fate, fortune"
さからう,"disobey, go against"
さかさ,"reverse, inversion"
さかさま,"upside-down, reverse"
ぜんしん,advancement
ぎょうれつ,"queue, line"
せいれつ,"row, line"
れっしゃ,train
たて,"lengthways, vertical"
れっとう,archipelago
なんじゅう,several tens
れつ,"row, line"
じつれい,"example, instance"
れいがい,exception
ようれい,"example, illustration"
たとえる,"compare, liken"
れいだい,"example, exercise"
れいねん,"normal year, average year"
たとえ,"metaphor, simile"
あまり,"remainder, leftover"
かっと,"lose one's temper, fly into a rage"
きれ,a cut of cloth
よち,"room, space"
よけい,"excess, needless"
よぶん,"excess, extra"
あいにく,unfortunately
あともどり,"turning back, retreat"
げしゃ,"get off, stopover"
とちゅう,"on the way, half way"
ようと,"use, service"
ちゅうと,halfway
しょうがい,"obstacle, disorder"
さくじょ,"deletion, elimination"
ふひつよう,"unnecessary, superfluous"
すでに,"already, previously"
きせい,"ready-made, ready-to-wear"
じたい,"situation, state of affairs"
しんこく,"serious, grave"
じこく,"time, hour"
しょっちゅう,"frequently, repeatedly"
あんのじょう,"as feared, sure enough"
しめきり,"deadline, time limit"
しめきる,"close, fix a deadline"
しまる,"tighten, be compact"
どうにか,somehow
とりしまる,"control, crack down"
ゆるめる,"loosen, unloose"
ゆるむ,"slacken, be loose"
さかえる,"flourish, thrive"
きょうよう,"culture, education"
きゅうよう,"rest, recreation"
バランス,balance
やしなう,"foster, support"
ひょうじょう,"expression, look"
ゆたか,"abundant, ample"
とむ,"be rich, abound in"
ほうふ,"abundant, plentiful"
せい,"right, positiveness"
くるしむ,"suffer, be troubled"
くじょう,"complaint, grievance"
くつう,"pain, agony"
くるしめる,"torment, trouble"
ああ,that kind of
せいようじん,Westerner
ぶきよう,"clumsy, unskillful"
めちゃくちゃ,"in a mess, terrible"
くろう,"difficulty, hardship"
ぎむ,"duty, obligation"
きょうせい,"compulsion, force"
きんろう,"labor, work"
ろうどうしゃ,"laborer, worker"
れんぞく,"continuation, succession"
ろうどう,"labor, toil"
ろうりょく,"labor, work"
よる,"be caused by, be due to"
こんなん,"difficulty, hardship"
せっかち,impatient
かくさ,"gap, disparity"
むかし,"old times, the old days"
とぼしい,"scarce, short of"
びんぼうにん,"poor person, the poor"
しゅび,"defense, fielding"
あまえる,"depend on, take advantage of"
あまやかす,"be indulgent to, spoil"
とうもろこし,"corn, maize"
こしょう,pepper
つらい,"difficult, harsh"
こううん,"good fortune, good luck"
なんだか,"somehow, what's what"
ふしあわせ,"unhappiness, misfortune"
こうふく,"happiness, good fortune"
さくげん,"curtailment, reduction"
ふくし,welfare
かいすい,seawater
ちょうみりょう,"seasoning, flavoring"
さばく,desert
もはん,"model, role model"
のうみん,"peasants, farmers"
のうか,farmhouse
のうそん,"farm village, agricultural community"
むがい,harmless
ぎょぎょう,fishing industry
うすぐらい,"gloomy, dim"
うすめる,"thin, dilute"
うすぎ,light clothing
ぺらぺら,"floppy, flimsy"
あつぎ,heavy clothing
きあつ,atmospheric pressure
こうきあつ,high pressure
ていきあつ,"low pressure, atmospheric depression"
しゅくしょう,"reduction, curtailment"
ちぢめる,"contract, shorten"
ちぢむ,"shrink, contract"
ちぢみ,shrinkage
ひきのばす,"stretch out, enlarge"
ついしん,P.S.
うりあげ,"sales, proceeds"
ばい,double
ちょうか,excess
しゅう,state
かんきょう,"environment, surroundings"
とうとう,"at last, after all"
とどけ,"report, delivery"
のりこし,riding past one's stop
おいぬく,"pass, overtake"
ぬける,"come out, leave"
トンネル,tunnel
ぬく,pull out
かちょう,section chief
あさひ,morning sun
いちだんと,"greater, further"
のぼる,"rise,"
ふうせん,balloon
ぜんいん,"all members, entire staff"
さつ,"bill, paper money"
かいさつ,ticket gate
ふだ,"sign, billboard"
なふだ,"name badge, tag"
ば,"opportunity, occasion"
れい,"bow, courtesy"
かんしゃ,"gratitude, thanks"
げっしゃ,monthly fee
さす,shine on
はんしゃ,reflection
かてい,"process, course"
こうてい,"distance, journey"
にってい,"program, schedule"
かくほ,securement
すぐれる,"be superior to, be fine"
ぜんしゃ,the former
コンテスト,contest
ゆうしょう,"victory, championship"
たいだん,interview
めした,one's inferiors
みかけ,"looks, appearance"
ゆうしゅう,"excellent, exceptional"
ひしょ,secretary
ぶか,subordinate
すきとおる,be transparent
ごういん,"overbearing, coercive"
しどう,"guide, lead"
コーチ,coach
はんどうたい,semiconductor
みちびく,"guide, lead"
おうじる,"answer, comply with"
きぼう,"hope, wish"
しつぼう,"disappointment, loss of hope"
のぞむ,"desire, hope"
のぞましい,"desirable, welcome"
ようぼう,"demand, request"
ゆうぼう,"promising, hopeful"
よくぼう,"desire, craving"
まちのぞむ,"expect, look forward to"
いし,"will, volition"
こころざす,"have an ambition for, aspire"
うかる,pass
こうじょう,improvement
こうがい,environmental pollution
つとめる,"endeavor, make efforts, try hard"
ひれい,"proportion, ratio"
ふじゅうぶん,"insufficiency, lack"
みのる,"bear fruit, ripen"
ひび,"daily, every day"
かんかん,furious
いっしゅ,"a kind of, of sorts"
どくりつ,"independence, self-reliance"
どくとく,"peculiarity, uniqueness"
ぶつぶつ,grumble
ひとりごと,"soliloquy, monologue"
ろん,"argument, opinion"
しらべ,"investigation, inquiry"
しゅっしん,"come from, origin"
きかく,"plan, project"
いがい,"unexpected, unforeseen"
しんちょう,"stature, height"
しんしん,mind and body
み,"body, one's own person"
そくてい,"measure, gauge"
なかみ,"content, interior"
みぢか,"near oneself, close to one"
みのまわり,"one's person, one's appearance"
みなり,"dress, one's appearance"
ちゅう,"middle, medium size"
みぶり,"gesture, gesticulation"
ちぢまる,"be shortened, be contracted"
わたくし,"I, myself"
どくせん,"exclusive possession, monopoly"
しょうこ,"proof, evidence"
ふよう,"unnecessary, waste"
いっか,"household, family"
うらぎる,betray
ろんじる,"argue, discuss"
なかよし,"good friend, chum"
なかなおり,"reconciliation, making up"
なか,personal relationship
なかま,"comrade, peer"
せいしき,"formal, regular"
しょうめい,"illumination, lighting"
てる,"shine, be fine"
くふう,"contrivance, scheme"
ふじん,"wife, married lady"
しゅふ,housewife
しんこん,newlywed
さんふじんか,obstetrics and gynecology
ふじん,"woman, lady"
ぶんたん,"assigning tasks, sharing burden"
なこうど,"go-between, matchmaker"
ほうもん,visit
ふさい,"husband and wife, Mr. and Mrs."
ふざい,absence
おくさま,"married woman, someone's wife"
じつりょく,"real ability, capability"
おたがい,each other
こうご,"by turns, alternatively"
そうご,"mutual, reciprocal"
たがい,each other
さく,"scheme, policy"
いちどに,"at a time, at once"
みまもる,"watch, keep watch over"
わがくに,"our country, Japan"
わがや,one's home
さくしゃ,"author, writer"
こうきょう,"public society, community"
くるしみ,"distress, suffering"
さっきょく,composition
したしみ,"intimacy, familiarity"
がらがら,gargle
ミス,mistake
もちぬし,"owner, proprietor"
そうべつ,"farewell, send-off"
くぶん,"division, section"
こうれい,"advanced age, elderly"
とう,"ask, question"
ねんれい,"age, years"
げいじゅつ,"art, arts and crafts"
あいじょう,"love, affection"
かわいらしい,"lovely, charming"
ふかまる,"deepen, become deeper"
マーク,logo
むなしい,"empty, vain"
もとめる,"seek, wish for"
こい,"love, romance"
しつれん,broken heart
こいする,"love, fall in love with"
ひきずる,"drag along, trail"
れんあい,love
はつこい,first love
とうごう,"integration, combination"
たんじょう,birth
ひそか,"secret, private"
えんちょう,"extension, prolongation"
えんき,"postponement, deferment"
しあさって,three days from today
のびる,"extend, be postponed"
のばす,"extend, postpone"
いわう,"celebrate, congratulate"
かわるがわる,"by turns, alternately"
たんじゅん,"simple, uncomplicated"
じゅんすい,"pure, unmixed"
じょゆう,actress
おしゃべり,"chatter, idle talk"
むちゅう,be absorbed
しんちょう,"prudence, discretion"
なきがお,tear-stained face
ながす,"let flow, set adrift"
えがお,"smiling face, smile"
からから,"roar, laugh loudly"
げらげら,out loud
てんさい,genius
かならずしも,"not always, not necessarily"
あらわす,"express, represent"
おおよろこび,"great joy, delight"
よろこばす,"please, gladden"
みな,"all, everybody"
はじ,"shame, disgrace"
べんろん,"discussion, oral proceedings"
ほご,"protection, safeguard"
べんご,defense
ほごしゃ,"guardian, protector"
うんよう,"operation, management"
おくじょう,"housetop, roof"
ついに,"at last, finally"
どうし,"fellow, to each other"
べんごし,"lawyer, attorney"
バッジ,badge
かんご,nursing
かんびょう,"nursing, nursing care"
ひてい,"denial, negation"
きじゅつ,description
さいばん,"trial, judgment"
さいばんしょ,courthouse
そうさい,"president, governor"
うったえ,"lawsuit, appeal"
しんろ,"course, route"
あれこれ,"this and that, one thing or another"
サークル,"circle, club"
めいしん,superstition
まいご,"lost child, lost person"
しつこい,persistent
くいき,zone
おおみず,"flood, inundation"
みち,unknown
じしん,self
うたがい,"doubt, suspicion"
うたがう,"doubt, be suspicious"
うたがわしい,"doubtful, questionable"
うちゅう,"universe, space"
ぶったい,"object, physical body"
なぞ,"puzzle, mystery"
いちじるしい,"remarkable, conspicuous"
あらわす,"write, compose"
ちょしゃ,"author, writer"
ちょしょ,"literary work, book"
けんり,"right, privilege"
けんりょく,"power, authority"
じんけん,human rights
しはい,"control, management"
げんろん,"speech, discussion"
きけん,"dropping out, renouncing rights"
おかす,"invade, violate"
にせもの,"sham, imitation"
こうい,"act, conduct"
そえる,"add to, attach to"
ばら,rose
しょう,"prize, award"
あてる,"guess, hit the jackpot"
こうへい,"impartiality, fairness"
しょうひん,"prize, trophy"
ぶもん,"division, department"
ノーベルしょう,Nobel Prize
